,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
216,21,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2011,4.9,"43,004",Hardcover,8.89
217,22,The Hunger Games Trilogy Boxed Set,Suzanne Collins,2011,4.8,"47,121",Hardcover,38.60
218,23,Cutting for Stone,Abraham Verghese,2011,4.6,"14,710",Paperback,14.10
219,24,Tina Fey: Bossypants,Tina Fey,2011,4.3,"20,153",Hardcover,9.64
220,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,2011,4.4,"8,291",Hardcover,27.00
221,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",,2011,4.3,Eric Larson,Hardcover,15.81
222,27,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2011,4.7,"4,964",Paperback,
223,28,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2011,4.7,"2,262",Paperback,17.16
224,29,A Stolen Life: A Memoir,,2011,4.6,Jaycee Dugard,Hardcover,20.99
225,30,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,2011,4.6,"25,134",Hardcover,12.99
226,31,Water for Elephants: A Novel,Sara Gruen,2011,4.5,"11,718",Paperback,10.29
227,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2011,4.6,Patrick Lencioni,Hardcover,20.14
228,33,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2011,4.5,"10,236",Hardcover,22.49
229,34,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2011,4.6,"5,454",Hardcover,12.00
230,35,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,2011,4.6,Stephen R. Covey,Paperback,24.99
231,36,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",,2011,4.2,Pierre Dukan,Hardcover,18.48
232,37,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,2011,4.7,"7,434",Hardcover,15.09
233,38,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,2011,4.5,"5,505",Hardcover,8.47
234,39,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2011,4.5,"8,445",Hardcover,15.50
235,40,The Litigators,John Grisham,2011,4.4,"32,875",Hardcover,17.88
236,41,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,2011,4.4,"2,903",Hardcover,22.99
237,42,The Help,Kathryn Stockett,2011,4.7,"33,007",Paperback,9.89
238,43,"Thinking, Fast and Slow",Daniel Kahneman,2011,4.6,"40,490",Hardcover,19.49
